PartNumber,Text,Image,Cad
UPKframeNG2j,,basis-set/libresolarbox/images/UPKframeNG2j.png,basis-set/libresolarbox/UPKframeNG2j.fcstd
batterymount1c_small,,basis-set/libresolarbox/images/batterymount1c_small.png,basis-set/libresolarbox/batterymount1c_small.fcstd
UPKframe11,,basis-set/libresolarbox/images/UPKframe11.png,basis-set/libresolarbox/UPKframe11.fcstd
