PartNumber,Text,Image,Cad
TSlot 80,,basis-set/tslot/TSlot 80.png,basis-set/tslot/TSlot 80.stp
TSlot 240,,basis-set/tslot/TSlot 240.png,basis-set/tslot/TSlot 240.stp
TSlot 120,,basis-set/tslot/TSlot 120.png,basis-set/tslot/TSlot 120.stp
TSlot 60,,basis-set/tslot/TSlot 60.png,basis-set/tslot/TSlot 60.stp
TSlot 40,,basis-set/tslot/TSlot 40.png,basis-set/tslot/TSlot 40.stp
TSlot 160,,basis-set/tslot/TSlot 160.png,basis-set/tslot/TSlot 160.stp
TSlot 400,,basis-set/tslot/TSlot 400.png,basis-set/tslot/TSlot 400.stp
TSlot 640,,basis-set/tslot/TSlot 640.png,basis-set/tslot/TSlot 640.stp
TSlot 320,,basis-set/tslot/TSlot 320.png,basis-set/tslot/TSlot 320.stp
