PartNumber,Text,Image,Cad
m6x16,,basis-set/schraubenmuttern/images/m6x16.png,basis-set/schraubenmuttern/m6x16.fcstd
m6x12,,basis-set/schraubenmuttern/images/m6x12.png,basis-set/schraubenmuttern/m6x12.fcstd
m6x25cyl,,basis-set/schraubenmuttern/images/m6x25cyl.png,basis-set/schraubenmuttern/m6x25cyl.fcstd
m6x8,,basis-set/schraubenmuttern/images/m6x8.png,basis-set/schraubenmuttern/m6x8.fcstd
wash6.4x12x1.6,,basis-set/schraubenmuttern/images/wash6.4x12x1.6.png,basis-set/schraubenmuttern/wash6.4x12x1.6.fcstd
m6x20,,basis-set/schraubenmuttern/images/m6x20.png,basis-set/schraubenmuttern/m6x20.fcstd
m6nut,,basis-set/schraubenmuttern/images/m6nut.png,basis-set/schraubenmuttern/m6nut.fcstd
m6nutplate,,basis-set/schraubenmuttern/images/m6nutplate.png,basis-set/schraubenmuttern/m6nutplate.fcstd
