PartNumber,Text,Image,Cad
lcon,,basis-set/verbinder/images/lcon.png,basis-set/verbinder/lcon.fcstd
tcon,,basis-set/verbinder/images/tcon.png,basis-set/verbinder/tcon.fcstd
